"字詞名","注音一式","釋義"
"秉燭夜遊","ㄅㄧㄥˇ　ㄓㄨˊ　ㄧㄝˋ　ㄧㄡˊ","1.秉，持拿。秉燭夜遊，指拿著燭光將黑夜也當白天來利用。指一種人生苦短，要及時掌握、及時行樂的生活態度。[例]而浮生若夢，為歡幾何？古人秉燭夜遊，良有以也。
2.拿著燭光或其他照明設備，趁晚上去玩。[例]露營的第一夜，童軍老師帶著我們秉燭夜遊海邊。"
"秉持","ㄅㄧㄥˇ　ㄔˊ","操持、執守。[例]做人要秉持公道，不可徇私。"
"秉承","ㄅㄧㄥˇ　ㄔㄥˊ","承受、接受。[例]他自幼秉承庭訓，知書達禮。"
"屏","ㄅㄧㄥˇ","1.停止、抑制。[例]屏息、屏氣凝神、屏住呼吸
2.退避、隱藏。[例]屏居、屏跡
3.排除、斥退。[例]屏除、屏棄、屏退"
"屏氣凝神","ㄅㄧㄥˇ　ㄑㄧˋ　ㄋㄧㄥˊ　ㄕㄣˊ","屏住呼吸，集中精神。謂專心一意。[例]在她演唱時，廳內所有的人都屏氣凝神，不敢稍微動一下。"
"屏息","ㄅㄧㄥˇ　ㄒㄧˊ","抑止呼吸，止住聲息。[例]屏息靜觀"
"餅","ㄅㄧㄥˇ","1.用麵粉或米粉做成的食品，大多呈薄扁而圓的形狀。[例]月餅、燒餅、蔥油餅
2.形如餅狀的東西。[例]鐵餅、柿餅"
"餅乾","ㄅㄧㄥˇ　ㄍㄢ","以麵粉為主要材料，做成片狀烘焙而成的食品。[例]蘇打餅乾、夾心餅乾、巧克力餅乾"
"稟","ㄅㄧㄥˇ","1.下對上、卑對尊或民眾對官署的陳述。[例]稟告、稟報、稟明原委
2.承受。[例]稟承、稟命、稟受
3.天賦的資質。[例]天生異稟"
"稟報","ㄅㄧㄥˇ　ㄅㄠˋ","下屬對上級報告。[例]此案茲事體大，理應稟報上級。"
"稟賦","ㄅㄧㄥˇ　ㄈㄨˋ","人天生的性格和資質。[例]他稟賦聰敏，將來必能出人頭地。"
"并","ㄅㄧㄥˋ","1.兼有。通「併」。[例]并吞、兼容并蓄
2.一齊。通「並」。
3.用於否定詞之前，以加強否定語氣，帶有反駁的意味。通「並」。
4.而且。通「並」。"
"併","ㄅㄧㄥˋ","合在一起。[例]合併、併攏、併吞"
"併發","ㄅㄧㄥˋ　ㄈㄚ","1.同時發生。[例]兩案併發
2.一種疾病在發生過程中引起另一種疾病。[例]感冒容易併發急性肺炎，不可掉以輕心。"
"併發症","ㄅㄧㄥˋ　ㄈㄚ　ㄓㄥˋ","由正在發患的病所引起的其他病症。如咳嗽引起氣管炎即是。[例]感冒若久未痊癒，容易引起併發症。　△合併症"
"併吞","ㄅㄧㄥˋ　ㄊㄨㄣ","侵占他人的財物或土地。[例]弱小的國家容易被大國併吞。"
"併購","ㄅㄧㄥˋ　ㄍㄡˋ","購買他人產業併入自己。[例]經過長久的考慮，這家傳播公司決定併購當地的一家電視臺。"
"併科","ㄅㄧㄥˋ　ㄎㄜ","對於觸犯數罪的犯人，一併處以其所犯各罪的刑罰，稱為「併科」。[例]併科罰金"
"併入","ㄅㄧㄥˋ　ㄖㄨˋ","合併在一起。[例]由於公司週轉不靈，所以將這個月薪水併入下個月核發。"
"併案","ㄅㄧㄥˋ　ㄢˋ","合併相關的案件。[例]這兩個案子，上級正併案辦理中。"
"摒","ㄅㄧㄥˋ","排除。[例]摒棄、摒斥、摒除"
"摒棄","ㄅㄧㄥˋ　ㄑㄧˋ","排除、捨棄。[例]要過健康的生活，應摒棄一切陋習。"
"摒除","ㄅㄧㄥˋ　ㄔㄨˊ","排除。[例]我們應摒除一切困難，勇往直前。"
"並","ㄅㄧㄥˋ","1.且、而且。[例]並且
2.兩種或兩種以上的事物並排著。[例]並肩、並列、並駕
3.一起、同時。[例]相提並論、群雄並起、兩案並存
4.用於否定詞前，以加強否定語氣。[例]所謂民主並非可以不守法。
5.相當於「連」、「同」。[例]並此淺近的原理亦不能明。"
"並排","ㄅㄧㄥˋ　ㄆㄞˊ","排列在同一條線上，不分前後。[例]他們倆並排坐著，狀甚親密。"
"並非","ㄅㄧㄥˋ　ㄈㄟ","實在不是。[例]他否決這項議案，完全是對事不對人，並非故意和你作對。"
"並立","ㄅㄧㄥˋ　ㄌㄧˋ","1.並排而立。[例]他們兩人在臺上並立著，等待受獎。
2.同時存在。引申有地位相當，勢力相等的意義。[例]並立於世"
"並列","ㄅㄧㄥˋ　ㄌㄧㄝˋ","1.並排齊列，位置不分前後或主次。[例]每隔一段距離，就派兩位士兵並列守衛。
2.同時存在。引申有地位相當、勢力相等的意義。[例]今年聯考，他們兩人並列榜首。"
"並聯","ㄅㄧㄥˋ　ㄌㄧㄢˊ","電路系統的一種連結法，使每一單位實際上成一平行支線或分路。[例]並聯電阻"
"並駕齊驅","ㄅㄧㄥˋ　ㄐㄧㄚˋ　ㄑㄧˊ　ㄑㄩ","1.車駕不分前後，同列而行。[例]那兩輛車正並駕齊驅的在高速公路上奔馳著。
2.比喻雙方實力相當，不分上下。[例]我國整體工業水準將邁入先進國家之列，和各國並駕齊驅。"
"並肩","ㄅㄧㄥˋ　ㄐㄧㄢ","1.並排，肩挨著肩。[例]並肩而立、並肩而坐
2.比喻行動一致，共同努力。[例]並肩作戰、並肩奮鬥"
"並進","ㄅㄧㄥˋ　ㄐㄧㄣˋ","同時前進，不分先後。[例]齊頭並進"
"並且","ㄅㄧㄥˋ　ㄑㄧㄝˇ","而且。通常連接兩個句子，是用以表示平列或進一層意義的連詞。[例]對於教導學生，家長和老師要建立共識，並且隨時保持聯絡。"
"並行不悖","ㄅㄧㄥˋ　ㄒㄧㄥˊ　ㄅㄨˋ　ㄅㄟˋ　","指同時進行，不會互相妨礙。語本《禮記．中庸》。[例]你白天讀書，晚上工作，這兩件事可以並行不悖。

 "
"並重","ㄅㄧㄥˋ　ㄓㄨㄥˋ","一樣重要。[例]現代教育主張德、智、體、群、美五育並重。"
"並存","ㄅㄧㄥˋ　ㄘㄨㄣˊ","同時存在。[例]天地並存"
"並無不當","ㄅㄧㄥˋ　ㄨˊ　ㄅㄨˋ　ㄉㄤˋ　","沒有不恰當的。[例]他對於這件事的處理方法並無不當。"
"並未","ㄅㄧㄥˋ　ㄨㄟˋ","實在沒有。[例]他的努力並未白費，終於考上理想中的學校。"
"並用","ㄅㄧㄥˋ　ㄩㄥˋ","一起使用。[例]手腦並用"
"病","ㄅㄧㄥˋ","1.生物體發生不健康的現象。包括生理或心理方面產生不正常的狀態。[例]疾病、肝病、心病
2.有病的。[例]病容、病人、病夫
3.生病、患病。[例]她病了三天，變得相當憔悴。
4.瑕疵、短處。[例]語病、毛病、弊病
5.責備。[例]詬病、世所共病"
"病變","ㄅㄧㄥˋ　ㄅㄧㄢˋ","病理變化。乃因疾病導致體內細胞、組織產生變化，影響正常組織器官的功能及結構。[例]糖尿病會引起許多器官病變，要及早治療才好。"
"病魔","ㄅㄧㄥˋ　ㄇㄛˊ","比喻疾病纏身，就像魔鬼來侵襲一樣。[例]她以堅定的意志戰勝了病魔，重獲健康。"
"病媒","ㄅㄧㄥˋ　ㄇㄟˊ","傳染疾病的媒介。當病原體經由節肢動物或無脊椎動物而傳播到人身上時，即稱該種媒介動物為「病媒」。[例]登革熱是以斑蚊為病媒傳到人體上。"
"病房","ㄅㄧㄥˋ　ㄈㄤˊ","醫院中，供病人接受檢查、治療、住宿的房間。[例]加護病房"
"病毒","ㄅㄧㄥˋ　ㄉㄨˊ","一種能使有機體致病的細小微生物。僅能由電子顯微鏡觀察到。沒有生殖能力，只能在活寄主的細胞內增殖。[例]一般感冒都是受到了濾過性病毒感染所致。"
"病榻","ㄅㄧㄥˋ　ㄊㄚˋ","病床。[例]眼看親人纏綿病榻而束手無策，他內心無比悲傷。"
"病態","ㄅㄧㄥˋ　ㄊㄞˋ","1.不正常的狀態。[例]病態心理 、社會病態
2.病狀、病容。[例]大病初癒，只見她仍是一身病態，打不起精神。"
"病痛","ㄅㄧㄥˋ　ㄊㄨㄥˋ","因疾病而引起的痛苦。[例]他雖然年過八十，依舊耳聰目明，少有病痛，真教人羨慕。"
"病理","ㄅㄧㄥˋ　ㄌㄧˇ","醫學上指疾病發生的原因、性質及發展過程、結果等。[例]過去對痲瘋病的病理並不了解，常誤以為這是一種很容易傳染的病。"
"病例","ㄅㄧㄥˋ　ㄌㄧˋ","疾病的實例。如某人曾患過某種疾病，即為此種疾病的病例。[例]醫生說像這種長期失憶後突然恢復的病例，並不多見。"
"病歷","ㄅㄧㄥˋ　ㄌㄧˋ","醫院中記載病人病情、診斷過程和處理方法的紀錄。[例]醫生調閱病人病歷，發現病人曾犯有心律不整的毛病。　△病案"
"病根","ㄅㄧㄥˋ　ㄍㄣ","1.疾病發生的根源。[例]過分肥胖、缺少運動是許多疾病的病根。
2.比喻導致失敗或造成災禍的根源。[例]面對公司經營不善的問題，我們必須先找出病根，才能對症下藥。"
"病故","ㄅㄧㄥˋ　ㄍㄨˋ","因病去世。[例]林伯伯於去年年底病故。"
"病況","ㄅㄧㄥˋ　ㄎㄨㄤˋ","病情。[例]令堂最近病況如何？"
"病患","ㄅㄧㄥˋ　ㄏㄨㄢˋ","病人。[例]醫護人員照顧病患要具備耐心、愛心。"
"病假","ㄅㄧㄥˋ　ㄐㄧㄚˋ","因生病而請的假。[例]近來流行性感冒肆虐，請病假的人日漸增多。"
"病菌","ㄅㄧㄥˋ　ㄐㄩㄣˋ","使人或其他生物生病的細菌。[例]居家環境四周要隨時保持清潔，以防止病菌的傳播。"
"病情","ㄅㄧㄥˋ　ㄑㄧㄥˊ","疾病變化的情況。[例]他的病情不穩定，你可要多留意！"
"病徵","ㄅㄧㄥˋ　ㄓㄥ","表現在外的疾病徵象和症狀。[例]發燒是感冒的病徵之一。"
"病症","ㄅㄧㄥˋ　ㄓㄥˋ","疾病的症狀徵候。[例]很多病的病症起初都很不明顯，後來由於疏忽才轉為嚴重的疾病。"
"病床","ㄅㄧㄥˋ　ㄔㄨㄤˊ","供病人使用的床。[例]病床不夠用是各大醫院常有的現象。"
"病蟲害","ㄅㄧㄥˋ　ㄔㄨㄥˊ　ㄏㄞˋ","植物病害和蟲害的合稱。[例]農作物噴灑農藥是為了防治病蟲害。"
"病逝","ㄅㄧㄥˋ　ㄕˋ","因病逝世。[例]那位老先生病逝已一年多了。"
"病人","ㄅㄧㄥˋ　ㄖㄣˊ","生病的人。[例]病人因病痛和心理不安，情緒容易不穩定。"
"病入膏肓","ㄅㄧㄥˋ　ㄖㄨˋ　ㄍㄠ　ㄏㄨㄤ","1.指人病重，無藥可救。語本《左傳．成公十年》。[例]他已經病入膏肓，在人世的日子恐不多了。
2.比喻事情已嚴重到無法挽救的地步。[例]這家公司的財務虧損已達病入膏肓的地步，再設法也是枉然了。"
"病容","ㄅㄧㄥˋ　ㄖㄨㄥˊ","生病的容貌。[例]老師今天面帶病容，講話有氣無力，一定是生病了。"
"病從口入","ㄅㄧㄥˋ　ㄘㄨㄥˊ　ㄎㄡˇ　ㄖㄨˋ","疾病是由於飲食不慎所引起的。[例]霍亂、痢疾等的流行，往往都是因為人們不注意飲食衛生，以致病從口入的結果。"
"病因","ㄅㄧㄥˋ　ㄧㄣ","生病的原因。[例]目前醫界對於許多疾病的病因，仍然無法清楚掌握。"
"病危","ㄅㄧㄥˋ　ㄨㄟˊ","病情嚴重而有生命危險。[例]他接到父親病危的通知，內心萬分悲慟。"
"病癒","ㄅㄧㄥˋ　ㄩˋ","生病已經痊癒。[例]他剛病癒不久，不宜做太粗重的工作。"
"病源","ㄅㄧㄥˋ　ㄩㄢˊ","發病的原因。[例]找出病源，對症下藥，才能早日康復。"
"病院","ㄅㄧㄥˋ　ㄩㄢˋ","醫院。[例]精神病院、傷殘病院"
"逋","ㄅㄨ","1.逃走、逃亡。[例]逋逃
2.拖欠。[例]逋欠、逋債"
"餔","ㄅㄨ","1.吃、進食。[例]餔糟啜醨（ㄌㄧˊ）
2.申時。指下午三點到五點。或泛指黃昏時分。古人一天兩餐，晚餐在日斜之後，日落之前，這段時間叫做「餔」。"
"卜","ㄅㄨˇ","1.古人灼燒龜甲或牛骨，辨視其裂紋以推斷事情吉凶的習俗。[例]占卜、龜卜
2.泛指一般預測吉凶的方法。[例]卜卦
3.預料、預測。[例]生死未卜
4.選擇。[例]卜居、卜鄰
5.姓。"
"卜卦","ㄅㄨˇ　ㄍㄨㄚˋ","占卜算卦。[例]為了兒子的病，她四處求神卜卦。"
"卜居","ㄅㄨˇ　ㄐㄩ","本指占卜以選擇居住的地方，今泛指擇地而居。[例]她退休後卜居溪頭，每天徜徉於山林之中。"
"卜辭","ㄅㄨˇ　ㄘˊ","商代刻在龜甲、獸骨上用來記錄占卜事項的文字。[例]從甲骨卜辭的內容來看，商代人的生活已相當複雜了。"
"捕","ㄅㄨˇ","1.捉拿、擒住。[例]逮捕、緝捕、捕魚
2.古代的基層治安人員。[例]巡捕、捕快"
"捕風捉影","ㄅㄨˇ　ㄈㄥ　ㄓㄨㄛ　ㄧㄥˇ","比喻所做之事或所說的話毫無根據，憑空揣測。[例]社會上多的是喜歡捕風捉影，造謠生事的人。"
"捕頭","ㄅㄨˇ　ㄊㄡˊ","舊時捕快的首領。[例]武俠小說中常見到許多武功高強的捕頭。"
"捕撈","ㄅㄨˇ　ㄌㄠ","在水中捕捉打撈。[例]到野外溪流戲水，不要任意捕撈魚蝦，以免破壞生態。"
"捕獲","ㄅㄨˇ　ㄏㄨㄛˋ","捕捉而有所獲得。[例]這艘漁船今日出海捕獲不少大魚。"
"捕捉","ㄅㄨˇ　ㄓㄨㄛ","1.追捕捉拿。[例]上野外教學課時，老師要我們捕捉一些昆蟲來進行觀察。
2.比喻掌握某一事物的特質，使其呈現出來。[例]他擅長用鏡頭捕捉山林之美。"
"捕殺","ㄅㄨˇ　ㄕㄚ","捕捉宰殺。[例]任意捕殺野生動物是違法的行為，切勿以身試法。"
"捕手","ㄅㄨˇ　ㄕㄡˇ","棒球比賽中，在本壘後方的守備隊員。[例]捕手在棒球場上是整個防守陣勢的指揮者。"
"哺","ㄅㄨˇ","1.餵食。[例]哺乳、反哺、嗷嗷待哺
2.咀嚼在口中的食物。[例]一飯三吐哺。（《史記．卷三十三．魯周公世家》）"
"哺乳","ㄅㄨˇ　ㄖㄨˇ","以乳汁餵食。[例]政府正大力宣導母親親自哺乳的好處。"
"哺乳動物","ㄅㄨˇ　ㄖㄨˇ　ㄉㄨㄥˋ　ㄨˋ","脊椎動物的一類。特徵是體表有毛髮，體溫恆常，以肺呼吸，母體能分泌乳汁哺育幼兒。除單孔類是卵生外，其餘皆是胎生。"
"哺育","ㄅㄨˇ　ㄩˋ","餵食養育。[例]每個人應牢記父母的哺育之恩。"
"補","ㄅㄨˇ","1.將破裂、破損的地方修好。[例]補衣、縫補、補破網　◎
2.添足所缺少的。[例]補充、填補、遞補
3.助益、裨益。[例]於事無補、不無小補
4.補充養分。[例]補品、冬令進補、十全大補湯"
"補白","ㄅㄨˇ　ㄅㄞˊ","1.書報上用來填補空白的文字。[例]這半頁空白就用這張菊花圖來補白吧！
	
2.書畫家用在款識上，謙稱自己的作品，只能供人填補牆壁上的空白。[例]這幅畫作上有題款：「尋常一樣窗前月，才有梅花便不同。 戲寫怒梅數枝，以為吾兄補白。」
"
"補報","ㄅㄨˇ　ㄅㄠˋ","1.補充性的報告。[例]這案子的新發現等調查清楚後再補報上級。
2.事後補行申報。[例]國稅局來了張補稅通知，要我們補報原先漏列的所得項目。"
"補票","ㄅㄨˇ　ㄆㄧㄠˋ","補買車票、船票等或補足差額。[例]鐵路局規定，凡是乘客遺失車票者皆須補票。"
"補品","ㄅㄨˇ　ㄆㄧㄣˇ","滋補身體的藥物或食品。[例]他帶了一些補品去探望正在養病的朋友。"
"補發","ㄅㄨˇ　ㄈㄚ","補行發給。[例]身分證遺失了要立即申請補發。"
"補丁","ㄅㄨˇ　ㄉㄧㄥ","破損衣物上補綴的地方。[例]隨著復古風興起，補丁服飾又重新大受歡迎。 "
"補貼","ㄅㄨˇ　ㄊㄧㄝ","補充不足。[例]這家公司制度完善，對員工的食、宿、交通等各項費用皆有補貼。"
"補課","ㄅㄨˇ　ㄎㄜˋ","老師或學生因故缺課，事後補授課程。[例]明天下午第一、二堂，國文老師要幫我們補課。"
"補考","ㄅㄨˇ　ㄎㄠˇ","因故不能參加考試或成績未能及格，而另行擇期補行考試，稱為「補考」。[例]本校規定學期成績不及格，但在五十分以上者，可以補考。"
"補給","ㄅㄨˇ　ㄐㄧˇ","供應、補充不足的東西。[例]這座高山雷達站所需要的用品，每個月從山下補給一次。"
"補給線","ㄅㄨˇ　ㄐㄧˇ　ㄒㄧㄢˋ","由後方到作戰陣地補充物資、器材等的交通路線。[例]補給線太長是軍隊作戰的致命傷。"
"補假","ㄅㄨˇ　ㄐㄧㄚˋ","1.應放假而未放假，或兩個假期重疊，於日後再補放，稱為「補假」。[例]今年國慶日恰逢星期日，所以星期一補假一天。
2.因特殊情況不能事先請假，於事後再補辦請假手續。[例]公司規定，除病假外，其餘假別不可事後補假。"
"補救","ㄅㄨˇ　ㄐㄧㄡˋ","彌補過失，矯正差錯。[例]事情到了這個地步，已經沒有補救的機會了。"
"補葺","ㄅㄨˇ　ㄑㄧˋ","1.修理、修補。[例]補葺房屋
2.蒐輯、修訂。[例]這篇論文還需要補葺更多的資料，才能較完備。"
"補習","ㄅㄨˇ　ㄒㄧˊ","為了充實某種知識或技能，利用業餘閒暇或課外的時間來學習。[例]他的數學老是不及格，所以請了一位家教來幫他補習。"
"補習班","ㄅㄨˇ　ㄒㄧˊ　ㄅㄢ","為補習而設置的教學班級或場所。[例]最近幾年外語補習班林立街頭，水準良莠不齊。"
"補習教育","ㄅㄨˇ　ㄒㄧˊ　ㄐㄧㄠˋ　ㄩˋ","為逾齡失學或已就業的青年等所施行的額外教育。也指對於想利用業餘或課外時間充實某種知識、技能者提供的教育。"
"補校","ㄅㄨˇ　ㄒㄧㄠˋ","補習學校。為中途失學或想繼續升學之就業人士而設立的補習學校。[例]她晚上在補校上課，以期完成高中學業。"
"補修","ㄅㄨˇ　ㄒㄧㄡ","1.添補修理。[例]補修房屋
2.高中職以上學生補足應修習的學科或學分。[例]他還要補修三個學分才能畢業。"
"補正","ㄅㄨˇ　ㄓㄥˋ","補充缺漏，修正錯誤。[例]公司每年會把人事資料發還員工，進行補正。"
"補助","ㄅㄨˇ　ㄓㄨˋ","貼補、支助。[例]這次旅遊，公司補助一半的費用。"
"補助費","ㄅㄨˇ　ㄓㄨˋ　ㄈㄟˋ","為補助所撥給的經費。[例]交通補助費　△補助款、補助金"
"補綴","ㄅㄨˇ　ㄓㄨㄟˋ","修補裂縫。[例]孔明有斡旋天地，補綴乾坤之才，是古今第一人。"
"補償","ㄅㄨˇ　ㄔㄤˊ","補足或償還。[例]精神上的損失是無法補償的。"
"補充","ㄅㄨˇ　ㄔㄨㄥ","增補不足之處。[例]補充說明、補充體力"
"補述","ㄅㄨˇ　ㄕㄨˋ","補充說明。[例]他的文章最後補述說很感謝許多人給他的指導，才能完成這篇論文。"
"補稅","ㄅㄨˇ　ㄕㄨㄟˋ","補繳稅款。[例]國稅局宣布如果民眾報稅時有漏列、短報者，可於月底前補稅。"
"補足","ㄅㄨˇ　ㄗㄨˊ","增補使達足數。[例]補足差額"
"補遺","ㄅㄨˇ　ㄧˊ","書籍正文還有遺漏，列在後面另加說明，稱為「補遺」。或將原書遺漏的部分另作專冊，亦稱為「補遺」。如清朝阮元的《三家詩補遺》。"
